t,KE
0, 35.29570043102074
5, 37.23136736973977
10, 43.73298815263128
15, 54.81448234591265
20, 70.4758499495839
25, 90.71709096364502
30, 115.53820538809593
35, 144.93919322293678
40, 178.92005446816754
45, 217.48078912378796
50, 260.6213971897984
55, 308.34187866619874
60, 360.64223355298896
65, 417.52246185016907
70, 478.9825635577392
75, 545.022538675699
80, 615.6423872040485
85, 690.8421091427884
90, 770.6217044919181
95, 854.9811732514372
100, 943.9205154213466
105, 1037.4397310016464
110, 1135.5388199923354
115, 1238.2177823934148
120, 1345.4766182048838
125, 1457.3153274267427
130, 1573.7339100589916
135, 1694.7323661016308
140, 1820.31069555466
145, 1950.4688984180782
150, 2085.206974691887
155, 2224.524924376086
160, 2368.4227474706745
165, 2516.9004439756523
170, 2669.9580138910214
175, 2827.595457216781
180, 2989.8127739529277
185, 3156.6099640994676
190, 3327.987027656395
195, 3503.9439646237133
200, 3684.480775001422
205, 3869.59745878952
210, 4059.2940159880072
215, 4253.570446596886
220, 4452.426750616153
225, 4655.86292804581
230, 4863.878978885858
235, 5076.4749031362935
240, 5293.650700797121
245, 5515.406371868341
250, 5741.741916349947
255, 5972.657334241943
260, 6208.1526255443305
265, 6448.227790257107
270, 6692.882828380274
275, 6942.117739913832
280, 7195.93252485778
285, 7454.3271832121145
290, 7717.301714976839
295, 7984.856120151957
300, 8256.99039873746
305, 8533.704550733359
310, 8814.998576139642
315, 9100.872474956317
320, 9391.326247183382
325, 9686.359892820836
330, 9985.97341186868
335, 10290.166804326911
340, 10598.940070195538
345, 10912.293209474554
350, 11230.22622216396
355, 11552.73910826375
360, 11879.831867773933
365, 12211.50450069451
370, 12547.757007025471
375, 12888.589386766826
380, 13234.00163991856
385, 13583.993766480698
390, 13938.565766453225
395, 14297.717639836133
400, 14661.449386629438
405, 15029.76100683313
410, 15402.65250044721
415, 15780.123867471686
420, 16162.175107906545
425, 16548.8062217518
430, 16940.01720900744
435, 17335.808069673476
440, 17736.17880374989
445, 18141.12941123671
450, 18550.659892133914
455, 18964.770246441494
460, 19383.46047415948
465, 19806.73057528785
470, 20234.580549826613
475, 20667.010397775757
480, 21104.020119135308
485, 21545.60971390524
490, 21991.779182085564
495, 22442.528523676257
500, 22897.85773867737
505, 23357.76682708886
510, 23822.255788910734
515, 24291.324624143006
520, 24764.97333278567
525, 25243.201914838726
530, 25726.010370302145
535, 26213.39869917599
540, 26705.366901460195
545, 27201.914977154815
550, 27703.04292625981
555, 28208.750748775197
560, 28719.03844470098
565, 29233.90601403715
570, 29753.353456783705
575, 30277.380772940654
580, 30805.987962507985
585, 31339.17502548573
590, 31876.941961873832
595, 32419.28877167235
600, 32966.21545488124
605, 33517.72201150053
610, 34073.808441530215
615, 34634.47474497026
620, 35199.720921820735
625, 35769.546972081574
630, 36343.95289575281
635, 36922.93869283444
640, 37506.50436332644
645, 38094.64990722884
650, 38687.37532454165
655, 39284.68061526482
660, 39886.5657793984
665, 40493.03081694236
670, 41104.075727896714
675, 41719.70051226146
680, 42339.90517003659
685, 42964.689701222116
690, 43594.054105818024
695, 44227.99838382433
700, 44866.52253524102
705, 45509.62656006809
710, 46157.310458305554
715, 46809.57422995341
720, 47466.41787501168
725, 48127.841393480325
730, 48793.84478535933
735, 49464.42805064876
740, 50139.59118934856
745, 50819.33420145876
750, 51503.65708697934
755, 52192.55984591033
760, 52886.04247825169
765, 53584.104984003454
770, 54286.747363165574
775, 54993.969615738126
780, 55705.77174172105
785, 56422.15374111437
790, 57143.11561391808
795, 57868.657360132165
800, 58598.77897975665
805, 59333.48047279153
810, 60072.76183923681
815, 60816.623079092446
820, 61565.064192358506
825, 62318.08517903494
830, 63075.68603912176
835, 63837.866772618974
840, 64604.62737952657
845, 65375.96785984458
850, 66151.88821357295
855, 66932.38844071173
860, 67717.4685412609
865, 68507.12851522044
870, 69301.36836259038
875, 70100.18808337074
880, 70903.58767756143
885, 71711.56714516257
890, 72524.12648617406
895, 73341.26570059595
900, 74162.98478842824
905, 74989.28374967091
910, 75820.16258432397
915, 76655.62129238741
920, 77495.65987386122
925, 78340.27832874548
930, 79189.4766570401
935, 80043.25485874513
940, 80901.61293386051
945, 81764.5508823863
950, 82632.06870432248
955, 83504.16639966905
960, 84380.843968426
965, 85262.10141059334
970, 86147.93872617108
975, 87038.35591515923
980, 87933.35297755775
985, 88832.92991336666
990, 89737.08672258597
995, 90645.82340521562
